,Kvadrata,Broj soba,Latitude,Longitude,Sprat,Balkon,Lift,Novogradnja,Plin,Podrum/Tavan,Vrsta grijanja,cluster,Cijena
96,42.0,1.5,43.84146353,18.34315028,5,0,1,0,0,1,4.0,1,85500.0
97,67.0,3.0,43.84175672,18.34781458,11,0,1,0,0,1,4.0,1,89900.0
98,78.0,3.0,43.8432433,18.34692683,11,1,1,0,0,1,4.0,1,105000.0
99,62.0,3.0,43.83962513,18.34396984,6,1,1,0,0,1,4.0,1,98000.0
100,64.0,3.0,43.84174210000001,18.34269967,12,1,1,0,0,1,4.0,1,77000.0
101,64.0,3.0,43.8415752,18.34255363,10,1,1,0,0,1,4.0,1,96000.0
102,64.0,3.0,43.84160615,18.34255363,10,1,1,0,0,1,4.0,1,96000.0
103,71.0,3.0,43.8409528,18.34782805,11,1,1,0,0,1,4.0,1,89900.0
105,56.0,2.0,43.84291744,18.3422785,10,1,1,0,0,1,4.0,1,79000.0
106,79.0,3.0,43.8414215,18.34809803,12,1,1,0,0,1,4.0,1,85000.0
107,69.0,3.0,43.83885954,18.34067728,6,1,1,0,1.0,0,4.0,1,95000.0
108,64.0,3.0,43.84240759,18.3429357,12,1,1,0,0,0,4.0,1,88000.0
109,71.0,3.0,43.84066557,18.34729942,11,0,1,0,0,0,4.0,1,89900.0
110,57.0,2.0,43.84349092,18.34362235,10,0,1,0,0,0,4.0,1,83500.0
111,97.0,3.0,43.8423603,18.34554006,9,0,1,0,1.0,0,3.0,1,142000.0
112,68.0,2.0,43.84222875,18.34010054,5,1,1,0,0,0,4.0,1,107500.0
113,64.0,2.0,43.84322782,18.34482398,9,1,0,0,0,0,4.0,1,94000.0
114,54.0,2.0,43.84170255,18.34059943,7,1,1,0,0,1,4.0,1,93000.0
115,86.0,4.0,43.84221928,18.34289013,13,1,1,0,0,1,4.0,1,130000.0
116,64.0,3.0,43.84065589,18.34347725,15,1,1,0,0,1,4.0,1,100000.0
117,77.0,4.0,43.84344449,18.34439483,11,1,1,0,0,0,4.0,1,123200.0
118,52.0,1.5,43.83898438,18.33995819,10,1,1,1.0,0,1,4.0,1,80000.0
119,64.0,3.0,43.84334723,18.3452573,1,0,1,0,0,1,2.0,1,99000.0
120,59.0,2.0,43.84215997,18.3451673,3,1,1,0,0,0,4.0,1,90500.0
121,79.0,4.0,43.84027865,18.33946737,4,1,1,0,0,0,4.0,1,120000.0
122,93.0,3.0,43.84143257,18.34759202,9,1,0,0,0,0,4.0,1,135000.0
123,57.0,2.0,43.84273168,18.3453575,8,1,0,0,0,0,4.0,1,95000.0
124,49.0,1.5,43.83999324,18.34353652,4,1,1,0,0,0,3.0,1,80000.0
125,69.0,3.0,43.84217544,18.34209886,3,1,0,0,0,0,4.0,1,118000.0
126,57.0,2.0,43.84106113,18.34450211,0,0,1,0,0,1,4.0,1,85000.0
127,49.0,1.5,43.840651,18.34606853,5,1,1,0,0,1,4.0,1,68600.0
128,47.0,1.5,43.84295753,18.34481768,7,1,1,0,0,1,4.0,1,77000.0
130,70.0,3.0,43.84352961,18.34622409,1,0,0,0,0,0,4.0,1,107000.0
131,56.0,2.0,43.84091024,18.34054854,4,0,0,0,0,0,4.0,1,107000.0
132,70.0,3.0,43.84350199,18.34611561,1,0,0,0,0,0,4.0,1,107000.0
133,78.0,3.0,43.84322782,18.34437337,14,0,0,0,0,0,4.0,1,99000.0
134,70.0,3.0,43.843177,18.34444191,3,0,0,0,0,0,4.0,1,95000.0
136,59.0,2.0,43.84156927,18.34537922,2,1,0,0,0,0,4.0,1,83000.0
137,65.0,3.0,43.84058136,18.34295716,10,1,1,0,0,1,2.0,1,125000.0
138,55.0,2.0,43.84051467,18.34070418,0,1,0,0,0,1,4.0,1,95000.0
139,69.0,3.0,43.84328688,18.34175225,10,1,1,0,0,0,4.0,1,100000.0
143,56.0,2.0,43.84100315,18.34049933,4,1,1,0,0,1,4.0,1,107000.0
144,78.0,3.0,43.84030664,18.3457413,7,1,1,0,0,0,4.0,1,120000.0
145,67.0,3.0,43.84233794,18.34719505,10,1,1,0,0,1,4.0,1,107200.0
146,110.0,5.0,43.83985588,18.34096696,9,1,1,1.0,0,1,4.0,1,185000.0
147,64.0,3.0,43.84224422,18.3422034,1,1,1,0,0,0,4.0,1,103000.0
148,60.0,2.0,43.84160281,18.34765639,13,1,1,0,0,0,4.0,1,80000.0
149,57.0,2.0,43.84246509,18.34503199,10,1,1,0,0,1,4.0,1,76950.0
150,56.0,2.0,43.84335163,18.3469912,12,1,1,0,0,1,4.0,1,95000.0
151,93.0,3.0,43.84229925,18.34742572,8,1,1,0,0,0,4.0,1,130000.0
152,77.0,3.0,43.84349092,18.34559646,1,1,1,0,0,1,4.0,1,130000.0
153,68.0,3.0,43.84219092,18.33987799,5,1,1,0,0,1,4.0,1,106900.0
154,64.0,3.0,43.84102932,18.34352304,10,1,1,0,0,0,4.0,1,100050.0
155,75.0,3.0,43.84307022,18.34133148,2,1,1,0,0,1,4.0,1,120000.0
156,68.0,2.0,43.84209806,18.34006038,2,1,1,0,1.0,1,4.0,1,119000.0
157,155.0,3.0,43.84147126,18.34107962,7,0,1,1.0,0,1,4.0,1,341000.0
158,64.0,2.0,43.84092098,18.3398967,0,0,0,0,1.0,1,4.0,1,105000.0
159,59.0,3.0,43.83856934,18.33673444,0,0,1,1.0,0,0,1.0,1,118000.0
160,76.0,3.0,43.838461,18.33682027,0,0,1,1.0,0,0,1.0,1,152000.0
161,60.0,3.0,43.83849533,18.3368611,0,0,0,1.0,0,0,1.0,1,120000.0
164,56.0,2.0,43.84582001,18.35015085,9,1.0,1.0,0,0,1.0,4.0,2,98000.0
168,80.0,3.0,43.84556467,18.34544625,1,0,0,0,0,0,4.0,2,127000.0
173,70.0,3.0,43.84606116,18.35191845,6,1.0,1.0,0,0,1.0,4.0,2,98000.0
174,78.0,4.0,43.84568756,18.34600123,3,1.0,1.0,0,0,1.0,4.0,2,110000.0
175,55.0,2.0,43.84525516,18.34711995,4,0,1.0,0,0,1.0,4.0,2,92000.0
176,58.0,2.0,43.84556467,18.35170116,2,1.0,1.0,0,0,0,4.0,2,94000.0
177,44.0,2.0,43.84412457,18.33719303,3,0,1.0,1.0,0,0,2.0,2,79000.0
178,56.0,2.0,43.84450792,18.33914186,15,1.0,1.0,0,0,0,4.0,2,92700.0
179,70.0,3.0,43.84464876,18.34285498,3,1.0,1.0,0,0,1.0,4.0,2,110000.0
262,78.0,3.0,43.84471351,18.34863272,14,0,1.0,0,0,1.0,4.0,2,132600.0
263,46.0,3.0,43.84509600000001,18.3406439,13,1.0,1.0,1.0,0,1.0,3.0,2,92000.0
264,120.0,4.0,43.84777477,18.35128784,5,1.0,0,0,1.0,1.0,3.0,2,190000.0
266,48.0,1.5,43.84545247,18.35075166,9,0,1.0,0,0,1.0,4.0,2,95000.0
268,78.0,4.0,43.84484247,18.34214984,3,1.0,1.0,0,0,1.0,4.0,2,115000.0
269,69.0,3.0,43.84390618,18.34140955,9,1.0,1.0,0,0,1.0,4.0,2,130000.0
270,70.0,3.0,43.84456649,18.34252801,4,1.0,1.0,0,0,1.0,4.0,2,119000.0
272,90.0,4.0,43.84450792,18.34872271,3,1.0,1.0,0,0,1.0,4.0,2,125000.0
273,70.0,3.0,43.84633757,18.35041096,6,1.0,1.0,0,1.0,1.0,4.0,2,100000.0
274,81.0,4.0,43.84205077,18.35249235,0,1.0,1.0,0,0,1.0,4.0,2,107000.0
276,77.0,3.0,43.84493404,18.3485147,6,1.0,1.0,0,0,0,4.0,2,120000.0
280,77.0,3.0,43.84605214,18.35252728,3,1.0,1.0,0,0,1.0,4.0,2,105000.0
281,70.0,3.0,43.84342901,18.34711995,3,1.0,1.0,0,0,1.0,4.0,2,95000.0
282,73.0,3.0,43.84615273,18.34908333,3,1.0,1.0,0,0,1.0,4.0,2,105000.0
283,70.0,3.0,43.84605988,18.35190501,6,1.0,1.0,0,0,1.0,4.0,2,98000.0
285,57.0,2.0,43.83155487,18.35128784,1,0,0,0,0,0,2.0,2,103986.0
286,69.0,3.0,43.84400162,18.34772077,10,0,1.0,0,1.0,0,4.0,2,100000.0
287,70.0,3.0,43.84493017,18.34523168,3,0,0,0,0,0,4.0,2,130000.0
288,48.0,2.0,43.84613726,18.34793534,12,1.0,1.0,0,0,1.0,4.0,2,98880.0
289,58.0,2.0,43.84509600000001,18.3406439,4,1.0,1.0,0,0,1.0,4.0,2,95000.0
290,69.0,3.0,43.84378405,18.34196718,9,1.0,1.0,0,0,1.0,2.0,2,133000.0
291,70.0,3.0,43.84534715,18.34393074,4,1.0,1.0,0,0,1.0,4.0,2,105000.0
293,70.0,3.0,43.84510039999999,18.34212031,11,1.0,1.0,0,0,0,4.0,2,109900.0
294,70.0,3.0,43.84525257,18.34415613,3,1.0,1.0,0,0,1.0,4.0,2,96000.0
296,78.0,4.0,43.84489922,18.34484544,15,1.0,1.0,0,0,1.0,4.0,2,95000.0
297,39.0,1.5,43.84643129,18.35405078,0,1.0,1.0,0,0,1.0,4.0,2,65000.0
300,65.0,3.0,43.84486053,18.34532824,12,1.0,1.0,0,0,1.0,4.0,2,97000.0
301,70.0,3.0,43.84477541,18.3427855,7,1.0,1.0,0,0,1.0,4.0,2,93000.0
302,70.0,3.0,43.84631651,18.35292696,5,1.0,1.0,0,0,1.0,4.0,2,98000.0
304,37.0,1.0,43.84718871,18.35412313,8,1.0,1.0,0,0,0,4.0,2,70000.0
305,77.0,3.0,43.84643129,18.35111108,3,1.0,0,0,0,0,4.0,2,105000.0
306,58.0,2.0,43.84610631,18.35093942,2,1.0,0,0,0,0,4.0,2,94000.0
307,78.0,4.0,43.84518885,18.34465649,15,1.0,1.0,0,0,0,4.0,2,100000.0
308,75.0,3.0,43.84627213,18.35077192,4,1.0,1.0,0,0,0,4.0,2,105000.0
310,70.0,3.0,43.84479089,18.34459867,3,1.0,1.0,0,0,1.0,4.0,2,100000.0
312,74.0,3.0,43.84568847,18.35106816,3,1.0,0,0,1.0,0,4.0,2,109000.0
314,56.0,2.0,43.84418733,18.3415195,11,1.0,1.0,0,0,0,4.0,2,89000.0
315,39.0,1.0,43.84509600000001,18.3406439,2,1.0,1.0,0,0,1.0,4.0,2,72000.0
316,58.0,2.0,43.84560636,18.3515804,2,1.0,1.0,0,0,0,4.0,2,94000.0
317,64.0,3.0,43.84489535,18.34494736,11,1.0,1.0,0,0,0,4.0,2,86400.0
318,65.0,3.0,43.84304211,18.3396956,10,1.0,0,0,0,0,4.0,2,110000.0
319,74.0,3.0,43.84508493,18.34422317,10,1.0,0,0,0,0,4.0,2,99900.0
323,70.0,3.0,43.84516144,18.34332992,4,0,0,0,0,0,4.0,2,110000.0
324,43.0,1.5,43.84777477,18.35128784,9,0,0,0,0,0,4.0,2,85000.0
325,21000.0,0.5,43.84777477,18.35128784,0,0,0,0,0,0,6.0,2,357000.0
328,72.0,3.0,43.84510039999999,18.34827867,1,1.0,1.0,0,0,0,4.0,2,96000.0
329,72.0,3.0,43.84520787,18.34828665,1,1.0,1.0,0,0,0,4.0,2,105000.0
330,70.0,3.0,43.84469717,18.34266474,4,1.0,1.0,0,0,1.0,4.0,2,125000.0
331,70.0,3.0,43.84465935,18.34202912,4,1.0,1.0,0,0,0,4.0,2,119000.0
332,79.0,3.0,43.84777477,18.35128784,2,1.0,1.0,0,0,0,4.0,2,179000.0
335,48.0,1.5,43.84551824,18.34175553,12,1.0,1.0,0,0,1.0,4.0,2,95000.0
336,76.0,4.0,43.84509600000001,18.3406439,1,1.0,0,0,1.0,1.0,1.0,2,110000.0
337,23.0,0.5,43.84777477,18.35128784,1,1.0,0,0,0,1.0,4.0,2,43000.0
338,69.0,3.0,43.84621077,18.35417416,13,1.0,1.0,0,0,1.0,4.0,2,105000.0
339,25.0,0.5,43.84557928,18.33970358,0,0,0,0,0,1.0,4.0,2,45000.0
340,75.0,3.0,43.84553952,18.34920939,2,1.0,1.0,0,0,1.0,4.0,2,105000.0
341,54.0,2.0,43.84509600000001,18.3406439,5,1.0,1.0,0,0,0,4.0,2,82000.0
343,74.0,2.0,43.84457423,18.34265139,7,1.0,1.0,1.0,0,0,4.0,2,92000.0
344,55.0,4.0,43.84777477,18.35128784,5,0,0,0,0,1.0,5.0,2,74250.0
345,72.0,3.0,43.84681726,18.3523527,7,1.0,1.0,0,0,1.0,4.0,2,90000.0
346,64.0,3.0,43.8448055,18.34502508,11,1.0,1.0,0,0,0,4.0,2,86400.0
347,48.0,2.0,43.84509600000001,18.3428755,1,1.0,1.0,0,0,0,4.0,2,93000.0
378,67.0,3.0,43.84257783,18.3492228,3,1.0,1.0,0,0,1.0,4.0,3,110000.0
379,72.0,3.0,43.84285973,18.35083629,2,1.0,0,0,0,1.0,4.0,3,135000.0
380,72.0,3.0,43.84286346,18.35065249,2,1.0,0,0,0,1.0,4.0,3,135000.0
381,64.0,2.0,43.84260593,18.3494854,13,1.0,1.0,0,0,1.0,4.0,3,85000.0
383,29.0,0.5,43.84333176,18.3551922,1,0,0,0,0,0,4.0,3,52000.0
384,64.0,3.0,43.84345997,18.3533534,15,1.0,1.0,0,0,1.0,4.0,3,95000.0
385,53.0,2.0,43.84385756,18.35312517,0,0,1.0,0,0,0,4.0,3,85000.0
386,64.0,3.0,43.84360118,18.35326221,15,1.0,0,0,0,1.0,4.0,3,95000.0
387,64.0,2.0,43.84327425,18.34943738,14,1.0,1.0,0,0,1.0,4.0,3,98000.0
388,71.0,3.0,43.84175318,18.35191991,3,1.0,1.0,0,0,1.0,4.0,3,103000.0
389,69.0,3.0,43.84414091,18.3516046,7,1.0,1.0,0,0,1.0,4.0,3,96000.0
402,24.0,0.5,43.84352895,18.35562258,4,0,0,0,0,0,4.0,3,55000.0
403,70.0,3.0,43.84360613,18.35595776,3,1.0,1.0,0,0,1.0,4.0,3,97000.0
404,80.0,3.0,43.84124685,18.35085359,11,1.0,1.0,0,0,1.0,4.0,3,119000.0
405,56.0,2.0,43.84387782,18.34988799,8,1.0,1.0,0,0,1.0,4.0,3,83000.0
406,77.0,3.0,43.84390877,18.35531678,9,1.0,1.0,0,0,1.0,4.0,3,110000.0
407,77.0,3.0,43.84147833,18.35209787,7,1.0,1.0,0,0,1.0,2.0,3,100000.0
408,77.0,3.0,43.8427514,18.35331466,7,1.0,1.0,0,0,1.0,4.0,3,107800.0
409,70.0,3.0,43.84175758,18.35319247,11,0,1.0,0,0,1.0,4.0,3,125000.0
